Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Label_1,Label_2,Label_3,Label_4,Label_5,Score_1,Score_2,Score_3,Score_4,Score_5
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,110.12,COMPLAIN  Engine fault lights up CAUSE  Diagnostics - AD Blue hose heating short circuit  CORRECTION Exchange,Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.24569642543792725,0.19748292863368988,0.18977323174476624,0.09698574990034103,0.09297024458646774
GROUND LEAD,DEFECTIVE CONTACTS,HOOD WIRING,0.0,148.16," REKL  VEHICLE WILL NOT START TEMPORARILY   REASON GROUND CABLE MOTOR TRANSITION RESISTANCE   CORRECTION  START AND CHARGING SYSTEM CHECKED, BATTERY DISCONNECTED CABLING CHECKED AND GROUND CONNECTION CHECKED GROUND CABLE OUT OF RING TANG INSTANT",Type of Failure,Number of Parts Replaced,Defective Component,Material Failure,Defective Part,0.23194782435894012,0.16136473417282104,0.15009108185768127,0.1300661265850067,0.11905248463153839
HOOD CONTROL CABLE,NOT ASSEMBLED,FLEXIBLE CONTROL,0.0,205.85, REKL  Engine hood won't open.  REASON  Bonnet opening cable not attached at the factory.  CORRECTION  Opening cable installed correctly with the hood closed. Difficult component access!!,Type of Failure,Material Failure,Defective Part,Defective Component,Number of Parts Replaced,0.24024951457977295,0.16693651676177979,0.1338014304637909,0.11491174250841141,0.10473315417766571
TEMPERATURE SENSOR,DEFECTIVE CONTACTS,EXH.GAS TEMP. SENSOR,1.0,90.43, DAMAGE TYPE  ENGINE LIGHT ON  CAUSE  FAULTY CONNECTION CONTACTS TEMPERATURE SENSOR   CORRECTION DIAGNOSIS WITH UDT. TROUBLESHOOTING AND REPLACEMENT TEMPERATURE SENSOR,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.3717964291572571,0.1810813695192337,0.14339588582515717,0.10683310031890869,0.07010731101036072
EGR VALVE,DEFECT,EGR VALVE,1.0,372.783464,"COMPLAINT Check engine message appear, adblue warning light is on and vehicle is 
moving with limited torque CAUSE EGR valve is defective CORRECTION Replace EGR valve",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.2765326499938965,0.23851272463798523,0.16268810629844666,0.12128189951181412,0.09406513720750809
BODY COMPUTER,DEFECT,ECU-BODY COMPUTER,0.0,381.8," INCIDENT  ACTIVE FAILURE IN BODY COMPUTER BCM   CAUSE GENERIC FAULT IN BCM CONTROL UNIT   SOLUTION  DIAGNOSIS, ELECTRICAL CHECKS, THD 106301824, CENTRAL RESET BY DISCONNECTING THE BATTERY (NOT OK), BODY REMOVAL AND REFITTING, CLEAR TROUBLES. EXCEPT SCALE 1.50H FOR ACTIVE BODY COMPUTER FAILURE RESEARCH",Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Total Cost Incurred,0.20324936509132385,0.17045968770980835,0.15336206555366516,0.13443097472190857,0.09946125745773315
PREHEATER PLUGS,BURNT-OUT,HEATER PLUG,1.0,74.47, DAMAGE TYPE  GLOW LIGHT ON  CAUSE  BURNED GLOW PLUG   CORRECTION REPLACEMENT. CANDLE,Type of Failure,Defective Part,Defective Component,Material Failure,Number of Parts Replaced,0.21645307540893555,0.16836360096931458,0.16797660291194916,0.12814344465732574,0.12586621940135956
OIL SUMP,CRACKED,OIL SUMP,4.0,253.25,"COMPLAIN  Oil leakage from the engine CAUSE  Leaky weld around oil pan drain screw  CORRECTION D-M oil pan, replacement",Number of Parts Replaced,Type of Failure,Defective Component,Material Failure,Defective Part,0.21554747223854065,0.17570194602012634,0.15575705468654633,0.15119805932044983,0.14068485796451569
HEATER,LOW OUTPUT/EFFICIENCY,RADIATOR/HEATER,8.5,681.684685,"REKL  Heating output too low  REASON Heating and cooling system dirty. CORRECTION  Find the cause of the problem, check the heating flap and cable 
Dismantle the dashboard. Descale and clean the heating element and cooling system, 
Flush and fill with new coolant.",Defective Part,Type of Failure,Defective Component,Material Failure,Number of Parts Replaced,0.1926533728837967,0.19170580804347992,0.1830054074525833,0.14356504380702972,0.126206636428833
BATTERY,LOW OUTPUT/EFFICIENCY,BATTERY,1.0,265.28,"REKL  Battery no power  REASON Battery collapsed  CORRECTION  Battery charged, but no power or too little. 
Battery replaced",Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.22932013869285583,0.1621691882610321,0.15401260554790497,0.1470085084438324,0.14218151569366455
AIR TEMPERATURE SENSOR,DEFECTIVE CONTACTS,TEMP. TRANSMITTER,1.0,149.98,COMPLAINT  ENGINE ERROR CODE CAUSE  TEMPERATURE SENSOR REDUCES WRONG VALUE  CORRECTION READ AND CLEAR ERRORS - REPLACE SENSOR,Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Design Flaw,0.2514873743057251,0.16622643172740936,0.16268208622932434,0.12907756865024567,0.0852324590086937
FLANGE GASKET,OIL LEAKS,GASKET,2.0,118.20625,"COMPLAINT REAR OF TRANSFER CASE LEAK, CAUSE PREMATURE LOSS OF TENSION CAUSING REAR OUTPUT SEAL LEAK 
ON TRANSFER CASE. CORRECTION DROVE VEHICLE INTO WORKSHOP
HOISTED VEHICLE
INSPECTED
FOUND LEAK TO BE COMING FROM TRANSFER CASE REAR 
OUTPUT SEAL
UNBOLTED FRONT AND REAR TAILSHAFTS TO GAIN ACCESS TO 
OUTPUT SHAFT SEAL. UNDONE OUTPUT SHAFT RETAINING NUT.
UNDONE GUARD AROUND IT. PUSHED SEAL OUT
CLEANED UP BOTH SURFACES. FITTED NEW SEAL AND NUT
TORQUED TO SPECIFICATIONS. REFITTED SHAFTS. TENSIONED
TEST DROVE - ALL OK",Number of Parts Replaced,Type of Failure,Defective Component,Total Cost Incurred,Defective Part,0.14304739236831665,0.1354392021894455,0.12785570323467255,0.12681341171264648,0.12245312333106995
ANS 24 HOURS,MISCELLANEOUS,RUBBER SLEEVE,0.0,169.655172,COMPLAINT ATTEND BRD CAUSE ATTEND BRD CORRECTION ATTEND BRD,Type of Failure,Defective Part,Defective Component,Material Failure,Number of Parts Replaced,0.25086522102355957,0.16808335483074188,0.16613322496414185,0.11614756286144257,0.11204670369625092
NOX DETECTION SENSOR,DEFECT,SENSOR,1.0,221.66,"COMPLAIN  the emission light is orange
Urea injection light flashing CAUSE  diagnosis and control of electrical installation - defective NOX sensor for 
catalyst CORRECTION  sensor replacement",Defective Component,Type of Failure,Defective Part,Material Failure,Number of Parts Replaced,0.28242725133895874,0.1891174018383026,0.1799691766500473,0.1059628427028656,0.1003098413348198
ANS 24 HOURS,MISCELLANEOUS,FUEL LINE,0.0,70.5," REKL  DRIVE VEHICLE TO THE SITE OF BREAKDOWN (EIKELOH) WITH SERVICE, VEHICLE ON SITE   REASON FUEL LOSSES - DIESEL DRIPS  CORRECTION  DRIVE TO THE LOCATION OF THE VEHICLE, BREAKDOWN LOCATION SECURED = 14 KM = FM FOR SERVICE CAR PAYMENT",Type of Failure,Material Failure,Total Cost Incurred,Defective Component,Number of Parts Replaced,0.18555553257465363,0.16131997108459473,0.13109546899795532,0.1300140917301178,0.12710171937942505
CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,1.0,81.793103,"COMPLAINT ABS FAULT CAUSE CARRIED OUT CHECKS FOUND WIRING FAULT TO ABS SENSOR 
CAUSING O/C CORRECTION REPAIRED WIRING AS REQUIRED AND REASSEMBLE AND SECURED 
LOOM. RECHECKED OKAY",Type of Failure,Defective Component,Number of Parts Replaced,Material Failure,Defective Part,0.205398291349411,0.16840718686580658,0.15248054265975952,0.12645049393177032,0.12624108791351318
PAD WEAR SENSOR,DEFECTIVE CONTACTS,BRAKEWEARINDIC.EL.,1.0,62.27, DAMAGE TYPE  BRAKE LIGHT ON  CAUSE  BRAKE WEAR SENSOR WITH DEFECTIVE CONNECTIONS   CORRECTION S/R WEAR SENSOR FOR REPLACEMENT,Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.27719980478286743,0.20884709060192108,0.19444310665130615,0.0989140048623085,0.0947345644235611
PIPES AD-BLUE,DEFECTIVE CONTACTS,DELIVERY LINE,1.0,218.08,"COMPLAINT OBD indicator lights. CAUSE Defective ad blue heating hose. CORRECTION Diagnostics ECM, SCR and ad blue systems, engine test, replacement ad 
blue heating hosse, tests after repair.",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.42763346433639526,0.25912192463874817,0.10712017118930817,0.08605479449033737,0.05134738236665726
ACC SENSOR,MISALIGNED,SENSOR,0.0,133.0, INCIDENT  AEBS LIGHT ON   CAUSE CHECK WITH ESAY. ACC RADAR MISALIGNMENT  SOLUTION  RADAR PROGRAMMING. CLEARING TROUBLES,Type of Failure,Defective Component,Defective Part,Total Cost Incurred,Material Failure,0.2299349308013916,0.18931850790977478,0.16581092774868011,0.10322687029838562,0.10297485440969467
CRANKSHAFT FRONT SEAL,SEIZURE,SHAFT SEAL,2.0,102.91158, COMPLAINT  OIL LOSS FRONT AXLE   CPRZ SEALANT RACE WORKED   CORRECTION  REPLACEMENT OF SEALER,Type of Failure,Number of Parts Replaced,Defective Part,Defective Component,Material Failure,0.18751899898052216,0.16539819538593292,0.15726831555366516,0.14611443877220154,0.13977839052677155
POP-OFF VALVE,SHORT CIRCUIT,VALVE,1.0,137.12,"COMPLAINT Indication for problem. CAUSE The diagnostics showed that the pop-off valve is not working correctly 
maybe due to electrical defect.
 CORRECTION The pop-off valve should be replaced.",Defective Component,Type of Failure,Defective Part,Material Failure,Number of Parts Replaced,0.24727584421634674,0.24363042414188385,0.21851904690265656,0.09915650635957718,0.06599856168031693
LATERAL MARKER LIGHT,WATER INFILTRATION,SIDE LIGHT,1.0,50.0," REKL  POSITION LIGHT NO LONGER WORKING.  REASON  MEASURE CONNECTIONS, OK. LIGHT IS RUSTED INSIDE DUE TO WATER INTRUSION.  CORRECTION  REPLACE LEFT LIGHT. RB",Number of Parts Replaced,Type of Failure,Defective Component,Defective Part,Material Failure,0.2097962647676468,0.1863255351781845,0.14311672747135162,0.12388018518686295,0.11526989191770554
SENSOR,DEFECT,SENSOR,1.0,130.157894, COMPLAINT  ABS INDICATOR LIGHT IS ON   CPRZ INTERNAL ELECTRICAL DAMAGE TO ABS SENSOR REAR LEFT SIDE   CORRECTION  REPLACEMENT OF ABS SENSOR REAR LEFT SIDE,Defective Component,Type of Failure,Defective Part,Number of Parts Replaced,Material Failure,0.17892664670944214,0.17212113738059998,0.16549834609031677,0.14571832120418549,0.10857787728309631
COMPLETE ENGINE CABLING,DEFECTIVE CONTACTS,MOTOR HARNESS,1.0,347.71, REKL  ERROR MESSAGE EDC   REASON ENGINE WIRING DEFECTIVE CONTACT   CORRECTION  MOTOR WIRING A-E REPLACEMENT,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.2801015377044678,0.20237846672534943,0.15613466501235962,0.142703115940094,0.08359769731760025
AD-BLUE METERING DEV MODU,DEFECTIVE CONTACTS,NOZZLE,2.0,204.068365,"COMPLAIN  reports error on adblue  CAUSE  there is an electrical fault on the adblue nozzle - dosing module  CORRECTION  diagnosis with UDT and error deleted, dosing module replaced",Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.2408529669046402,0.1902959644794464,0.16769804060459137,0.15572965145111084,0.08041764050722122
NOX DETECTION SENSOR,DEFECT,SENSOR,2.0,213.696842,"COMPLAINT  POWER LIMITATION MESSAGE CHECK ENGINE  CPRZ DAMAGED NOX SENSOR BEHIND SCR  CORRECTION  DEFECT VERIFICATION IN ACCORDANCE WITH ETIM PROCEDURE
 REPLACEMENT OF THE DAMAGED SENSOR WITH A NEW one, ERASING 
ERRORS",Defective Component,Defective Part,Number of Parts Replaced,Type of Failure,Material Failure,0.2728325426578522,0.16265524923801422,0.15223608911037445,0.1419638991355896,0.08116409927606583
FRONT RUBBER BLOCKS,CRACKED,SET OF DOWELS,1.0,132.44,"COMPLAIN  Banging from the floor CAUSE  Inspection of chassis and cabin mounting - cracked mounting found 
cabins  CORRECTION  Changed saves",Type of Failure,Number of Parts Replaced,Material Failure,Defective Component,Defective Part,0.1987815797328949,0.19546930491924286,0.1574060320854187,0.15205620229244232,0.12262911349534988
CONNECTIONS,SHORT CIRCUIT,FRAME WIRING,1.0,519.01," CLAIM  CHECK IT DOES NOT START, PERFORM DIAGNOSIS, CHECK BATTERY, RESULT RECHARGE THE BATTERY, THE PROBLEM IS NOT THE BATTERY, IT IS THE FUEL SYSTEM. CHECK AND REPAIR ELECTRICAL INSTALLATION THAT GOES H  CAUSE  DEFECTIVE DIESEL PUMP ELECTRICAL INSTALLATION   SOLUTION CHECK VEHICLE DOES NOT START, IN COCENTRO , PERFORM BATTERY, RECHARGE BATTERY, THE PROBLEM IS NOT BATTERY REPAIR ELECTRICAL INSTALLATION FUEL PUMP SHORT CIRCUIT",Defective Component,Defective Part,Number of Parts Replaced,Type of Failure,Human Error,0.14497075974941254,0.13694289326667786,0.12287093698978424,0.12265102565288544,0.12019377201795578
PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,153.79,"COMPLAINT The engine is low power. On dashboaed appear symbol for problem 
with AD BLUE system. CAUSE We made diagnostic. We readed error. 07EA5F - 04 - SCR - reagent 
heating - Voltage below normal, or shorted to low source. Check the 
resistance of the heating element. CORRECTION We have to replacef the heating element.",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.22483785450458527,0.17922285199165344,0.1624433994293213,0.12986943125724792,0.1258537620306015
MAIN BEARING CAPS,CRACKED,THREADED PLUG,2.0,194.430233,"COMPLAINT OIL LEAK CAUSE CHECKED FOR LEAKS FOUND OIL LEAK AT FRONT 
CORE PLUG CORRECTION REMOVED RADIATOR FOR ACCESS AND REMOVED 
PLUG, CLEANED SURFACES AND RESEALED TO CURE 
LEAK. REFIT AND BLEED RADIATOR AND WASH. 
RECHECK ED OKAY",Defective Component,Type of Failure,Defective Part,Material Failure,Number of Parts Replaced,0.18499533832073212,0.1796097606420517,0.1633502095937729,0.13279427587985992,0.13122978806495667
REAR CABLE,LOOSE RETAINER,CLIP,1.0,50.82,"REKL  Handbrake has insufficient effect  REASON Mounting clamp on the handbrake cable at the rear right had come loose and 
was lost CORRECTION  Check the brake system on the test bench, new rear right hand brake cable 
attached, handbrake stroke adjusted.",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.19766870141029358,0.18011537194252014,0.17641592025756836,0.1378355622291565,0.12217321991920471
FLANGE SEAL,OIL LEAKS,SHAFT SEAL,9.0,235.16, REKL  REAR AXLE FLANGE LEAKING   REASON REAR AXLE FLANGE - SHAFT SEAL DEFECTIVE   CORRECTION  REAR AXLE SHAFT SEAL FLANGE RENEWED,Defective Component,Defective Part,Number of Parts Replaced,Type of Failure,Material Failure,0.24847805500030518,0.180003821849823,0.17664735019207,0.15139701962471008,0.09335215389728546
AD-BLUE TANK,DEFECT,TANK/RESERVOIR,2.0,1116.58,"COMPLAINT  The ad-blue level does not drop  CAUSE Ad-blue tank defect  CORRECTION  System(s) read out
Ad-blue system tested
Wiring/contacts and grounds checked
Ad-blue tank emptied and dismantled
Parts transferred to the new ad-blue tank
This mounted and filled with ad-blue
Read the system(s) again and the new components 
programmed
Ad-blue test performed
All errors cleared",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.2708247900009155,0.21349133551120758,0.16909688711166382,0.11280752718448639,0.08533745259046555
TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,253.21,"INCIDENT  DPF LIGHT AT TDB + ENGINE LIGHT 
LOSS OF POWER CAUSE  NOX SENSOR FAULT
SHORT CIRCUIT PIN 3 & 4 SOLUTION  NOX SENSOR REPLACEMENT
ECONOMY: 
MONITORING GUIDED PROCEDURE DEFAULT 07034-03
+ ROAD TEST",Type of Failure,Defective Component,Number of Parts Replaced,Defective Part,Material Failure,0.1919112354516983,0.19121523201465607,0.16887266933918,0.1471257507801056,0.10974560678005219
RADIATOR EXPANSION TANK,LEVEL INCORRECT,EXPANSION TANK,1.0,268.269233,"REKL  Cooling water level low is permanently displayed  REASON Float in expansion vessel gets stuck  CORRECTION  Find the cause and fix it.
Check the cooling water level. To do this, check the sensor
Drain the cooling water and dismantle the expansion vessel.
Replace defective expansion vessel and coolant
add again. Evaporate the engine compartment. Carry out a test drive
and carry out a leak check.",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.2505248486995697,0.20682552456855774,0.16076485812664032,0.11211978644132614,0.10837635397911072
HEADLAMP AIMING ACTUATOR,INCORRECT ADJUSTMENT,HEADLIGHT,1.0,274.49,"REKL  HEADLIGHT LEFT ACTUATOR MOVING 
CONSTANTLY UP AND DOWN REASON  ACTUATOR MOTOR DEFECTIVE  CORRECTION HEADLIGHT LEFT FRONT A-E ERN. AND DISCONTINUED",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.3135935962200165,0.25576186180114746,0.11626960337162018,0.10505245625972748,0.07408519089221954
STARTER MOTOR ASSY,DEFECTIVE CONTACTS,STARTER MOTOR,1.0,352.67,"COMPLAINT  WILL NOT START  CAUSE WIRING MEASUREMENT - EVERYTHING IS NORMAL
STARTER IS DEFECTIVE CORRECTION  STARTER REPLACEMENT",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.33824214339256287,0.2606046795845032,0.1262752264738083,0.08487142622470856,0.06072406470775604
BATTERY,SHORT CIRCUIT,BATTERY,1.0,345.589812,"Error  Unable to start (power)  Reason Battery defective according to test. Correction  Battery measured.
Battery replaced and programmed.",Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.34126418828964233,0.19647248089313507,0.17028021812438965,0.09513574093580246,0.08678537607192993
HEATER RADIATOR,DEFECT,RADIATOR/HEATER,8.0,507.69, DAMAGE TYPE  COOLANT LOSS  CAUSE  DEFECTIVE HEATING RADIATOR   CORRECTION RADIATOR REPLACEMENT,Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.2941838502883911,0.20983077585697174,0.1738705039024353,0.11594544351100922,0.08734837919473648
SHIFT LEVER BOOT,BREAK,GEAR LEVER KNOB,1.0,17.963158,"TEMPERATURE  The customer applied to the service requesting a general check of the vehicle. FROM WHERE  During the examination, it was determined that the gear lever and bellows tabs were broken.
No impact was detected on the vehicle/part. PROCEDURE  The customer complaint was resolved by replacing the part.",Number of Parts Replaced,Defective Component,Defective Part,Type of Failure,Material Failure,0.1767207384109497,0.17307020723819733,0.16870129108428955,0.15735992789268494,0.14142964780330658
ANS 24 HOURS,MISCELLANEOUS,BALL JOINT,0.0,101.1," REKL  BREAKDOWN RESPONSIBILITY ULM DONAUTAL DISTANCE 28 KM   REASON PIP 49T ON FZG VEHICLES DUE   CORRECTION  BREAKDOWN RESPONSIBILITY ULM DONAUTAL, REPAIR TO 14 VEHICLES",Number of Parts Replaced,Type of Failure,Defective Component,Material Failure,Defective Part,0.2232370227575302,0.2017975151538849,0.1284102499485016,0.11993146687746048,0.10106059163808823
BATTERY,SHORT CIRCUIT,BATTERY,0.0,34.2,"DAMAGE TYPE  SOMETIMES IT DOESN'T TURN ON. ENGINE FAILURE TO START CAUSE  PROBABLE SPECIAL DEFECT. BATTERY IN 
SHORT CIRCUIT. TEST UDT AND CHARGE THE BATTERY. SECOND 
TEST UDT AFTER RECHARGING. BATTERY REPLACEMENT AFTER 
SECOND TEST WITH RECHARGE RESULT. CORRECTION  BATTERY CHARGING",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.33984318375587463,0.20286118984222412,0.14587520062923431,0.11483410745859146,0.06418116390705109
RADIATOR EXPANSION TANK,DEFECT,EXPANSION TANK,1.0,55.74,"INCIDENT  Coolant leak at the expansion tank.
 CAUSE  rupture at the expansion tank  SOLUTION replace the expansion tank.",Type of Failure,Material Failure,Defective Component,Defective Part,Number of Parts Replaced,0.22680693864822388,0.19255545735359192,0.1569553017616272,0.13339601457118988,0.1290256828069687
GEARBOX INTERNAL CONTROLS,BREAK,GEAR SELECTOR,9.0,771.72," CLAIM  CHECK GEARBOX FAULT.  CAUSE  BROKEN SELECTOR   SOLUTION CHECK FAILURE IN GEARBOX, REMOVE TRANSMISSION AND OPEN GEARBOX, REPLACE SELECTOR",Type of Failure,Defective Part,Defective Component,Number of Parts Replaced,Material Failure,0.19611893594264984,0.16235320270061493,0.1571635901927948,0.15447406470775604,0.14852450788021088
BEARINGS,TOO LOOSE/FLEXIBLE,WHEEL BEARINGS,4.0,208.067369,"COMPLAINT  RUMBLING NOISE FROM THE FRONT WHEELS WHILE DRIVING FROM 
SPEEDS 60 KM/H CPRZ  PLAY IN THE FRONT RIGHT WHEEL HUB BEARING  CORRECTION BEARING REPLACEMENT",Number of Parts Replaced,Defective Component,Type of Failure,Defective Part,Material Failure,0.20165784657001495,0.1629425287246704,0.1557440608739853,0.13505755364894867,0.10089560598134995
PARTICULATE TRAP,DEFECT,CATALYTIC SILENCER,2.0,1002.19,"complaint  The OBD light is on, the display reads ""Have the engine checked"".   Defective DPF. repair  Diagnostics, proceeding according to the controlled procedure, replacing the DPF.",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.3279479444026947,0.237397238612175,0.1401830017566681,0.09368178248405457,0.08709032088518143
PUMP TO FILTER PIPE,BREAK,FUEL LINE,1.0,48.96, DAMAGE TYPE  DIESEL LEAK  CAUSE  PIPE BREAK   CORRECTION REPLACEMENT. TUBE,Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.29393959045410156,0.15277934074401855,0.15054115653038025,0.13448069989681244,0.1289045363664627
ANS 24H RECOVERY CHARGE,DOWNTIME,DELIVERY LINE,0.0,320.0,REKL  Towing  REASON Towing CORRECTION Towing,Type of Failure,Number of Parts Replaced,Total Cost Incurred,Material Failure,Defective Part,0.21345917880535126,0.2105405330657959,0.1308029294013977,0.12369546294212341,0.09941090643405914
BUZZERS,SHORT CIRCUIT,INDICATOR,1.0,89.608502," COMPLAINT  reverse gear sensor does not work - it is in stock   CPRZ DEFECTIVE REVERSE BUZZER   CORRECTION  FAULT VERIFICATION, REPLACEMENT OF THE REVERSE GEAR BUZZER",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.3576204776763916,0.25640302896499634,0.1088976189494133,0.09991057962179184,0.06566362082958221
ANS 24 HOURS,MISCELLANEOUS,SWITCH,0.0,67.71,"REKL  Vehicle does not start, various error messages  REASON Assembly trip to Rehau / Charlottenweg 
from 09.12 - 11.15 a.m. CORRECTION  External installation",Type of Failure,Number of Parts Replaced,Material Failure,Defective Component,Defective Part,0.21069833636283875,0.1633538156747818,0.15707553923130035,0.13094094395637512,0.1226082518696785
WHEEL RIM,DEFECT,DISC WHEEL,2.0,247.193684," COMPLAINT  AIR IS LEAKING FROM THE RIMS RIGHT AND LEFT FRONT   CPRZ AIR LOSS ON THE RIMS AND WELD OF THE RIMS, INTERNAL DEFECT OF THE RIMS  CORRECTION  REPLACEMENT OF FRONT RIMS",Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.28041788935661316,0.23470014333724976,0.1305823177099228,0.12631268799304962,0.08879122138023376
CRANKSHAFT FRONT SEAL,BURNT-OUT,SHAFT SEAL,2.0,255.55,COMPLAINT Oil leaks from engine. CAUSE Defective crankshaft seal front. CORRECTION Replacement crankshaft seal front.,Defective Component,Defective Part,Type of Failure,Material Failure,Number of Parts Replaced,0.2925149202346802,0.23404037952423096,0.1487298309803009,0.11446792632341385,0.11212038993835449
ANS 24 HOURS,MISCELLANEOUS,CATALYTIC SILENCER,0.0,108.0,complaint  Exit to the vehicle: Lipt. Mikuláš - Nižná na Orava   Exit to the vehicle: Lipt. Mikuláš - Nižná na Orava  repair  Exit to the vehicle: Lipt. Mikuláš - Nižná na Orava,Type of Failure,Number of Parts Replaced,Defective Component,Defective Part,Material Failure,0.18850889801979065,0.16659976541996002,0.15311692655086517,0.1492617428302765,0.12116619944572449
ENGINE DRIVE CONTR.UNIT,"CONTROL,VERIFICATION",URANIA CLASSIC LS,0.0,63.0,REKL  Engine oil diluent lights up  REASON Read fault memory and evaluate engine oil dilution  CORRECTION  Reset engine oil dilution - delete fault memory,Type of Failure,Defective Component,Material Failure,Defective Part,Number of Parts Replaced,0.21014712750911713,0.1509728878736496,0.13319502770900726,0.12777751684188843,0.1248791292309761
CLUTCH SYS TANK AND PUMP,INCORRECT PRESSURE,KIT-HYDRAULIC CYL,1.0,141.418605,"COMPLAINT Clutch pedal low CAUSE Found clutch cylinder weeping causing pedal to go spongy CORRECTION Replaced clutch cylinder and test, all okay",Type of Failure,Defective Component,Defective Part,Material Failure,Number of Parts Replaced,0.24060414731502533,0.16521038115024567,0.14786313474178314,0.1369701772928238,0.13655729591846466
SUSP.ARM BALL JOINTS,DEFECT,BALL JOINT,2.0,94.33605," COMPLAINT  checked the noise on the left front when going over bumps  CAUSES upper and lower left pivot shows play in the spherical joint, replacement required   CORRECTION  replaced upper and lower left pivot",Number of Parts Replaced,Defective Component,Type of Failure,Defective Part,Material Failure,0.21215571463108063,0.1811196357011795,0.1658392697572708,0.1596316695213318,0.09076225757598877
LOCKS,LOOSE RETAINER,DOOR LOCK,0.0,38.85,"COMPLAINT  LIGHTING MESSAGE CAUSE  BACK DOOR LOCK LOOSE, CAUSING NON ​​PLATE LIGHTING 
NOT WORKING CORRECTION  ASSEMBLE AND ADJUST THE LOCK CORRECTLY => OKAY",Type of Failure,Defective Component,Defective Part,Number of Parts Replaced,Material Failure,0.2224843055009842,0.16784752905368805,0.12859781086444855,0.11676186323165894,0.11379434168338776
HORN,DEFECT,HORN,1.0,34.4, CLAIM  HORN DOES NOT WORK  CAUSE  DEFECTIVE HORN   SOLUTION REPLACE HORN,Defective Component,Defective Part,Type of Failure,Number of Parts Replaced,Material Failure,0.29284074902534485,0.2115950882434845,0.12877100706100464,0.10717583447694778,0.08698426187038422
ANS 24 HOURS,MISCELLANEOUS,WIRE/CABLE,0.0,280.3, REKL  DRIVE TO EISENBERG SCHULSTR 27 FOR EXTERNAL INSTALLATION   REASON DRIVE TO EISENBERG SCHULSTR 27 FOR EXTERNAL INSTALLATION   CORRECTION  DRIVE TO EISENBERG SCHULSTR 27 FOR EXTERNAL INSTALLATION,Type of Failure,Total Cost Incurred,Defective Part,Material Failure,Number of Parts Replaced,0.14773277938365936,0.13760194182395935,0.1325339674949646,0.12237774580717087,0.12221716344356537
FLANGE SEAL,DEFORMED,SHAFT SEAL,2.0,58.791946," COMPLAINT  LEAK FROM REAR AXLE, DEFORMED REAR AXLE SEAL, REPLACEMENT OF SEAL   CPRZ REAR AXLE LEAK , DEFORMED REAR AXLE SEAL, REPLACEMENT OF SEAL  CORRECTION  LEAK FROM REAR AXLE, DEFORMED REAR AXLE SEAL, REPLACEMENT OF SEAL",Type of Failure,Number of Parts Replaced,Material Failure,Defective Component,Defective Part,0.18179568648338318,0.13960683345794678,0.1374705731868744,0.1330319195985794,0.12153317034244537
DASHBOARD TRIM,INCORRECT ASSEMBLY,FRAME,2.0,124.85,"REKL  DIN SHAFT FOR TOLLGER T NOT INSTALLED, IT WAS REMOVED 
ONLY THE FLAP WITH THE ET NO. 580154441 INSTALLED REASON  The SW toll preparation is documented but not installed  CORRECTION Remove storage compartment under the radio and Din slot 
Install toll preparation, as requested by the SW in the spare part 
Catalog and documented in the order.",Number of Parts Replaced,Type of Failure,Material Failure,Defective Component,Defective Part,0.17235715687274933,0.16144582629203796,0.1446637660264969,0.1260889619588852,0.11573269963264465
