Component,Failure,DefectivePart,PartsReplaced,Cost,Translated_DealerComment,Extracted_Entities
CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,0.0,51.308725,"COMPLAINT  lots of lights on the display, they come on and off  CPRZ loose ground points in engine compartment  CORRECTION  checking, improving mass points","[('COMPLAINT', 'ORG'), ('CORRECTION', 'PERSON')]"
FUEL INLET PIPE,DEFECT,FUEL LINE,2.0,61.360001,"COMPLAINT  OIL LEAK FROM ENGINE  CPRZ WORN FUEL PIPES AND LEAKING HOUSING 
FILTER CORRECTION  REPLACEMENT OF FUEL PIPES AND FILTER HOUSING","[('COMPLAINT', 'ORG')]"
FUEL FILLER,BREAK,BREATHER PIPE,4.0,27.97,COMPLAIN  DIESEL LEAK AT THE THROAT CAUSE  THE PLASTIC WELD ON THE KNEE OF THE OIL TANK FLOAT CRASHED  CORRECTION  EXCHANGE,"[('LEAK', 'PERSON'), ('CORRECTION  EXCHANGE', 'ORG')]"
PROP.SHAFT GEAR/B TO RA,DEFECT,SLIDING PROP.SHAFT,1.0,874.175,"COMPLAINT VEHICLE HAS A TERRIBLE VIBRATION/SHUDDER OVER 
105KM/HR CAUSE RUNOUT ON FRONT SHAFT SHAFT FROM FACTORY - CORRECTION TEST DROVE TO CHECK THE VIBRATION, THEN CHECKED 
ALL THE
SHAFT ANGLES. ALL ANGLES CHECKED, ADJUSTED 
GEARBOX ANGLE TO
5 DEGREE AND ROADTESTED, FAULT STILL PRESENT. ALL 
OTHER
ANGLES GOOD=10WU. INSPECTED SHAFT FOR RUN OUT 
AND IT HAS TOO
MUCH RUN OUT IN THE FRONT SHAFT AND
REAR SHAFT. ORDER NEW SHAFT ASSEMBLEY ,. PARTS
ARRIVED FROM ITALY AND FITTED TO VEHICLE. 
ROADTESTED ALL OK
EXT LAB= NO SRT IN IWD , INCLUDES DIAGNOSIS","[('COMPLAINT VEHICLE HAS A TERRIBLE VIBRATION/SHUDDER OVER \n105KM/HR CAUSE RUNOUT ON FRONT SHAFT SHAFT', 'ORG'), ('VIBRATION', 'PERSON'), ('5', 'CARDINAL'), ('RUN', 'ORG'), ('ORDER NEW SHAFT ASSEMBLEY', 'ORG'), ('IWD', 'ORG'), ('DIAGNOSIS', 'ORG')]"
SLEEVES,LOOSE RETAINER,RUBBER SLEEVE,1.0,188.35,INCIDENT  loss of power + engine light - icc 8001772493  CAUSE hs intercooler hose  SOLUTION  replace hose + clear faults,"[('8001772493', 'CARDINAL'), ('CAUSE', 'ORG'), ('hose', 'PERSON'), ('hose + clear', 'PERSON')]"
PARTICULATE TRAP,DEFECT,CATALYTIC SILENCER,0.0,73.8,"INCIDENT  ENGINE LIGHT CAUSE  CATA FAULT  SOLUTION 295501104 U.D.T STATION PREPARATION -1 
295567104 DIAGNOSIS EDC ENGINE SYSTEM -4 
295567152 FAULT MEMORY READING AND DELETION 
-1 
295558110 FORCED REGENERATION PARTICLE FILTER -3","[('INCIDENT  ENGINE', 'ORG'), ('295501104', 'DATE'), ('295567104', 'DATE'), ('295567152', 'DATE'), ('295558110', 'DATE')]"
REAR CABLE,SEIZURE,HAND BRAKE CABLE,1.0,67.17,REKL  Insufficient handbrake effect  REASON Right hand brake cable tied  CORRECTION Replace right rope,"[('REKL  Insufficient', 'ORG'), ('CORRECTION Replace', 'ORG')]"
MOVABLE BELT TENSIONER,BLOCKAGE,BELT TENSIONER,2.0,68.68,"COMPLAINT ENGINE OVERHEATING CAUSE WATER PUMP BELT TENSIONER BLOCKED, CONSENQUENTLY 
BELT BROKE OFF AND CAUSED ENGINE OVERHEATING CORRECTION REPLACE BELT AND TENSIONER","[('COMPLAINT ENGINE OVERHEATING CAUSE WATER PUMP BELT', 'ORG')]"
BRAKE CALIPER GUIDING PIN,SEIZURE,KIT-BRAKE CALIPER,2.0,74.024609, COMPLAINT  The brake in the front left wheel does not engage.  CPRZ  Blocked guides in the front left brake caliper.  CORRECTION  Replacing the guides in the front left brake caliper.,"[('COMPLAINT', 'ORG')]"
SENSOR,DEFECT,SENSOR,1.0,201.13,"COMPLAINT Customer claims about ABS, ESP system faults on IC CAUSE After vehicle inspection, UDT diagnostics was identified that abs sensor 
space is defective, we regulate it CORRECTION Did UDT diagnostics, regulate abs rear wheels sensors
Economy used for additional wok time with UDT diagnostics tool, 
vehicle tests on the road","[('COMPLAINT Customer', 'ORG'), ('sensor', 'DEFECTIVE_PART')]"
PREPARATIONS,BREAK,DELIVERY LINE,1.0,441.5,"COMPLAIN  REPORTED FAILURE 1: ENGINE FAILURE, THERE IS NO OTHER INFO FROM 
RESCUE OR STATION NOTE, COME RESCUED AT 04/27/2022 AT 
14:24 //JB CAUSE  ERROR MEMORY, ERROR INDICATION HEATING HOSE TO ADBLUE, DONE 
MEASURING HEATING LOOP SUPPLY LINE, DETERMINES 
INCORRECT VALUE, NEW FEEDER REQUIRED, REPLACEMENT DONE 
DITTO, ERASE ERROR MEMORY, DONE PROGRAMMING 
ECM, ACTION 1: - TROUBLESHOOTING, CONNECTION 
DIAGNOSTIC COMPUTER, READOUT FUNCTION CHECK AND 
TEST DRIVE WITHOUT REMARKS,  CORRECTION  ERROR MEMORY, ERROR INDICATION HEATER HOSE TO ADBLUE, DONE 
MEASURING HEATING LOOP SUPPLY LINE, DETERMINES 
INCORRECT VALUE, NEW FEEDER REQUIRED, REPLACEMENT DONE 
DITTO, ERASE ERROR MEMORY, DONE PROGRAMMING 
ECM, ACTION 1: - TROUBLESHOOTING, CONNECTION 
DIAGNOSTIC COMPUTER, READOUT FUNCTION CHECK AND 
TEST DRIVE WITHOUT NOTE,","[('14:24', 'CARDINAL'), ('NEW FEEDER REQUIRED', 'GPE'), ('1', 'CARDINAL'), ('READOUT FUNCTION CHECK', 'PERSON'), ('NEW FEEDER REQUIRED', 'GPE'), ('1', 'CARDINAL'), ('READOUT FUNCTION CHECK', 'PERSON')]"
PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,135.04,"REKL  Various error messages active  REASON Various error messages active  CORRECTION  Adblue fault, fault memory read 001102-05 actively saved. 
Adblue heating interruption checked and measured, setpoint 1.5-
3, ACTUAL value 55. Heating defective, removed and installed and replaced. 
Error memory deleted","[('CORRECTION  Adblue', 'ORG'), ('001102', 'CARDINAL'), ('1.5-\n3', 'CARDINAL'), ('55', 'CARDINAL')]"
ANS 24 HOURS,DOWNTIME,PUMP,0.0,219.544236,"COMPLAIN  emergency service CAUSE  call out to the customer's location  CORRECTION driving technician round trip 13 WU and driving service van 72 kilometers 
a DKK 7.40 - dossier 8001873697","[('CAUSE', 'ORG'), ('13', 'CARDINAL'), ('WU', 'ORG'), ('van 72 kilometers', 'PERSON'), ('DKK', 'ORG'), ('7.40', 'CARDINAL'), ('8001873697', 'CARDINAL')]"
GEAR SELECTOR,BLOCKAGE,FLEXIBLE CONTROL,0.0,180.0, INCIDENT  GEARS ARE GOING WRONG   CAUSE GEAR SHIFT INCORRECTLY   SOLUTION  530520 007 SPEEDS CHANGE IMPROPERLY LINKAGE ASSEMBLY,"[('530520', 'DATE')]"
NOX DETECTION SENSOR,SHORT CIRCUIT,NOX SENSOR,1.0,275.985255,"Error  Car reports EDC error. Cause  Nox sensor upstream defective. Correction  Error read out.
Nox sensor replaced.","[('sensor', 'DEFECTIVE_PART'), ('Correction  Error', 'ORG'), ('Nox', 'GPE'), ('sensor', 'DEFECTIVE_PART')]"
PARTICULATE TRAP,DEFECT,CATALYTIC SILENCER,5.0,1835.23,DAMAGE TYPE  OBD LIGHT ON CAUSE  INTERNAL CATALYTIC MUFFLER FAULT  CORRECTION CATALYTIC MUFFLER REPLACEMENT,"[('OBD', 'ORG')]"
BATTERY,LOW OUTPUT/EFFICIENCY,BATTERY,1.0,270.459771,"COMPLAINT ATTEND TO VEHICLE REPORTED NON-START CAUSE CHECKED BATTERY CONDITION.CHARGE & RETEST 
ISSUE.FOLLOWED VEHICLE BACK TO WORKSHOP FOR FURTHER 
ANALYSIS.BATTERY PUT ON CHARGE OVERNIG HT FOR FURTHER 
TEST.TESETED BATTERY AGAIN & RESULT WAS RECHARGE & RE-
TEST. CORRECTION FITTED NEW BATTERY DUE TO TEST & CHARGE/RECHARGE X2 
RESULTS LOGGED ON UDT.","[('COMPLAINT ATTEND', 'PERSON'), ('VEHICLE BACK', 'ORG'), ('PUT ON CHARGE OVERNIG HT FOR FURTHER', 'ORG'), ('BATTERY AGAIN & RESULT', 'ORG'), ('RECHARGE &', 'ORG')]"
SUSP.ARM BALL JOINTS,DEFORMED,BALL JOINT,2.0,107.19,"COMPLAINT Knocking sound in front, while driving through the pot-
hole, creak sound while rotating steering wheel
 CAUSE After FA inspection was identified that left side upper ball 
joint is loose, cracked rubber cover and water with mud 
deformed it
 CORRECTION Replace left side upper ball joint","[('COMPLAINT Knocking', 'ORG')]"
PIPES AD-BLUE,SHORT CIRCUIT,DELIVERY LINE,1.0,110.12,COMPLAIN  Engine fault lights up CAUSE  Diagnostics - AD Blue hose heating short circuit  CORRECTION Exchange,"[('CAUSE  Diagnostics - AD Blue', 'ORG'), ('CORRECTION Exchange', 'ORG')]"
GROUND LEAD,DEFECTIVE CONTACTS,HOOD WIRING,0.0,148.16," REKL  VEHICLE WILL NOT START TEMPORARILY   REASON GROUND CABLE MOTOR TRANSITION RESISTANCE   CORRECTION  START AND CHARGING SYSTEM CHECKED, BATTERY DISCONNECTED CABLING CHECKED AND GROUND CONNECTION CHECKED GROUND CABLE OUT OF RING TANG INSTANT","[('VEHICLE', 'ORG'), ('START', 'PRODUCT')]"
HOOD CONTROL CABLE,NOT ASSEMBLED,FLEXIBLE CONTROL,0.0,205.85, REKL  Engine hood won't open.  REASON  Bonnet opening cable not attached at the factory.  CORRECTION  Opening cable installed correctly with the hood closed. Difficult component access!!,"[('CORRECTION  Opening', 'ORG')]"
TEMPERATURE SENSOR,DEFECTIVE CONTACTS,EXH.GAS TEMP. SENSOR,1.0,90.43, DAMAGE TYPE  ENGINE LIGHT ON  CAUSE  FAULTY CONNECTION CONTACTS TEMPERATURE SENSOR   CORRECTION DIAGNOSIS WITH UDT. TROUBLESHOOTING AND REPLACEMENT TEMPERATURE SENSOR,"[('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
EGR VALVE,DEFECT,EGR VALVE,1.0,372.783464,"COMPLAINT Check engine message appear, adblue warning light is on and vehicle is 
moving with limited torque CAUSE EGR valve is defective CORRECTION Replace EGR valve","[('COMPLAINT Check', 'ORG'), ('CAUSE', 'ORG'), ('EGR', 'ORG'), ('EGR', 'PERSON')]"
BODY COMPUTER,DEFECT,ECU-BODY COMPUTER,0.0,381.8," INCIDENT  ACTIVE FAILURE IN BODY COMPUTER BCM   CAUSE GENERIC FAULT IN BCM CONTROL UNIT   SOLUTION  DIAGNOSIS, ELECTRICAL CHECKS, THD 106301824, CENTRAL RESET BY DISCONNECTING THE BATTERY (NOT OK), BODY REMOVAL AND REFITTING, CLEAR TROUBLES. EXCEPT SCALE 1.50H FOR ACTIVE BODY COMPUTER FAILURE RESEARCH","[('INCIDENT', 'ORG'), ('DIAGNOSIS', 'ORG'), ('106301824', 'DATE'), ('CENTRAL RESET', 'NORP'), ('EXCEPT SCALE', 'ORG')]"
PREHEATER PLUGS,BURNT-OUT,HEATER PLUG,1.0,74.47, DAMAGE TYPE  GLOW LIGHT ON  CAUSE  BURNED GLOW PLUG   CORRECTION REPLACEMENT. CANDLE,[]
OIL SUMP,CRACKED,OIL SUMP,4.0,253.25,"COMPLAIN  Oil leakage from the engine CAUSE  Leaky weld around oil pan drain screw  CORRECTION D-M oil pan, replacement","[('CAUSE', 'ORG'), ('Leaky', 'PERSON'), ('CORRECTION D-M', 'PERSON')]"
HEATER,LOW OUTPUT/EFFICIENCY,RADIATOR/HEATER,8.5,681.684685,"REKL  Heating output too low  REASON Heating and cooling system dirty. CORRECTION  Find the cause of the problem, check the heating flap and cable 
Dismantle the dashboard. Descale and clean the heating element and cooling system, 
Flush and fill with new coolant.","[('CORRECTION', 'PERSON')]"
BATTERY,LOW OUTPUT/EFFICIENCY,BATTERY,1.0,265.28,"REKL  Battery no power  REASON Battery collapsed  CORRECTION  Battery charged, but no power or too little. 
Battery replaced","[('REKL  Battery', 'ORG'), ('CORRECTION  Battery', 'ORG')]"
AIR TEMPERATURE SENSOR,DEFECTIVE CONTACTS,TEMP. TRANSMITTER,1.0,149.98,COMPLAINT  ENGINE ERROR CODE CAUSE  TEMPERATURE SENSOR REDUCES WRONG VALUE  CORRECTION READ AND CLEAR ERRORS - REPLACE SENSOR,"[('COMPLAINT', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
FLANGE GASKET,OIL LEAKS,GASKET,2.0,118.20625,"COMPLAINT REAR OF TRANSFER CASE LEAK, CAUSE PREMATURE LOSS OF TENSION CAUSING REAR OUTPUT SEAL LEAK 
ON TRANSFER CASE. CORRECTION DROVE VEHICLE INTO WORKSHOP
HOISTED VEHICLE
INSPECTED
FOUND LEAK TO BE COMING FROM TRANSFER CASE REAR 
OUTPUT SEAL
UNBOLTED FRONT AND REAR TAILSHAFTS TO GAIN ACCESS TO 
OUTPUT SHAFT SEAL. UNDONE OUTPUT SHAFT RETAINING NUT.
UNDONE GUARD AROUND IT. PUSHED SEAL OUT
CLEANED UP BOTH SURFACES. FITTED NEW SEAL AND NUT
TORQUED TO SPECIFICATIONS. REFITTED SHAFTS. TENSIONED
TEST DROVE - ALL OK","[('COMPLAINT REAR OF TRANSFER CASE LEAK', 'ORG'), ('FRONT AND REAR TAILSHAFTS', 'ORG'), ('GAIN ACCESS', 'ORG'), ('NUT', 'ORG')]"
ANS 24 HOURS,MISCELLANEOUS,RUBBER SLEEVE,0.0,169.655172,COMPLAINT ATTEND BRD CAUSE ATTEND BRD CORRECTION ATTEND BRD,"[('COMPLAINT', 'ORG'), ('ATTEND BRD CAUSE', 'ORG'), ('ATTEND BRD', 'PERSON')]"
NOX DETECTION SENSOR,DEFECT,SENSOR,1.0,221.66,"COMPLAIN  the emission light is orange
Urea injection light flashing CAUSE  diagnosis and control of electrical installation - defective NOX sensor for 
catalyst CORRECTION  sensor replacement","[('CAUSE', 'ORG'), ('NOX', 'ORG'), ('sensor', 'DEFECTIVE_PART'), ('CORRECTION', 'PERSON'), ('sensor', 'DEFECTIVE_PART')]"
ANS 24 HOURS,MISCELLANEOUS,FUEL LINE,0.0,70.5," REKL  DRIVE VEHICLE TO THE SITE OF BREAKDOWN (EIKELOH) WITH SERVICE, VEHICLE ON SITE   REASON FUEL LOSSES - DIESEL DRIPS  CORRECTION  DRIVE TO THE LOCATION OF THE VEHICLE, BREAKDOWN LOCATION SECURED = 14 KM = FM FOR SERVICE CAR PAYMENT","[('VEHICLE ON SITE   REASON', 'ORG'), ('VEHICLE', 'ORG'), ('14', 'CARDINAL')]"
CHASSIS LOOM,SHORT CIRCUIT,FRAME WIRING,1.0,81.793103,"COMPLAINT ABS FAULT CAUSE CARRIED OUT CHECKS FOUND WIRING FAULT TO ABS SENSOR 
CAUSING O/C CORRECTION REPAIRED WIRING AS REQUIRED AND REASSEMBLE AND SECURED 
LOOM. RECHECKED OKAY","[('SENSOR', 'DEFECTIVE_PART')]"
PAD WEAR SENSOR,DEFECTIVE CONTACTS,BRAKEWEARINDIC.EL.,1.0,62.27, DAMAGE TYPE  BRAKE LIGHT ON  CAUSE  BRAKE WEAR SENSOR WITH DEFECTIVE CONNECTIONS   CORRECTION S/R WEAR SENSOR FOR REPLACEMENT,"[('BRAKE', 'ORG'), ('CAUSE', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('CORRECTION S/R WEAR', 'ORG'), ('SENSOR', 'DEFECTIVE_PART')]"
PIPES AD-BLUE,DEFECTIVE CONTACTS,DELIVERY LINE,1.0,218.08,"COMPLAINT OBD indicator lights. CAUSE Defective ad blue heating hose. CORRECTION Diagnostics ECM, SCR and ad blue systems, engine test, replacement ad 
blue heating hosse, tests after repair.","[('COMPLAINT OBD', 'ORG'), ('CAUSE Defective', 'PERSON'), ('hose', 'PERSON'), ('CORRECTION Diagnostics ECM', 'ORG'), ('SCR', 'ORG')]"
ACC SENSOR,MISALIGNED,SENSOR,0.0,133.0, INCIDENT  AEBS LIGHT ON   CAUSE CHECK WITH ESAY. ACC RADAR MISALIGNMENT  SOLUTION  RADAR PROGRAMMING. CLEARING TROUBLES,[]
CRANKSHAFT FRONT SEAL,SEIZURE,SHAFT SEAL,2.0,102.91158, COMPLAINT  OIL LOSS FRONT AXLE   CPRZ SEALANT RACE WORKED   CORRECTION  REPLACEMENT OF SEALER,"[('COMPLAINT', 'ORG')]"
POP-OFF VALVE,SHORT CIRCUIT,VALVE,1.0,137.12,"COMPLAINT Indication for problem. CAUSE The diagnostics showed that the pop-off valve is not working correctly 
maybe due to electrical defect.
 CORRECTION The pop-off valve should be replaced.","[('COMPLAINT Indication', 'ORG')]"
LATERAL MARKER LIGHT,WATER INFILTRATION,SIDE LIGHT,1.0,50.0," REKL  POSITION LIGHT NO LONGER WORKING.  REASON  MEASURE CONNECTIONS, OK. LIGHT IS RUSTED INSIDE DUE TO WATER INTRUSION.  CORRECTION  REPLACE LEFT LIGHT. RB","[('MEASURE CONNECTIONS', 'ORG')]"
SENSOR,DEFECT,SENSOR,1.0,130.157894, COMPLAINT  ABS INDICATOR LIGHT IS ON   CPRZ INTERNAL ELECTRICAL DAMAGE TO ABS SENSOR REAR LEFT SIDE   CORRECTION  REPLACEMENT OF ABS SENSOR REAR LEFT SIDE,"[('COMPLAINT', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
COMPLETE ENGINE CABLING,DEFECTIVE CONTACTS,MOTOR HARNESS,1.0,347.71, REKL  ERROR MESSAGE EDC   REASON ENGINE WIRING DEFECTIVE CONTACT   CORRECTION  MOTOR WIRING A-E REPLACEMENT,"[('CORRECTION  MOTOR WIRING A-E REPLACEMENT', 'ORG')]"
AD-BLUE METERING DEV MODU,DEFECTIVE CONTACTS,NOZZLE,2.0,204.068365,"COMPLAIN  reports error on adblue  CAUSE  there is an electrical fault on the adblue nozzle - dosing module  CORRECTION  diagnosis with UDT and error deleted, dosing module replaced","[('CAUSE', 'ORG'), ('UDT', 'ORG')]"
NOX DETECTION SENSOR,DEFECT,SENSOR,2.0,213.696842,"COMPLAINT  POWER LIMITATION MESSAGE CHECK ENGINE  CPRZ DAMAGED NOX SENSOR BEHIND SCR  CORRECTION  DEFECT VERIFICATION IN ACCORDANCE WITH ETIM PROCEDURE
 REPLACEMENT OF THE DAMAGED SENSOR WITH A NEW one, ERASING 
ERRORS","[('COMPLAINT  POWER LIMITATION MESSAGE CHECK', 'ORG'), ('SENSOR', 'DEFECTIVE_PART'), ('SENSOR', 'DEFECTIVE_PART')]"
FRONT RUBBER BLOCKS,CRACKED,SET OF DOWELS,1.0,132.44,"COMPLAIN  Banging from the floor CAUSE  Inspection of chassis and cabin mounting - cracked mounting found 
cabins  CORRECTION  Changed saves","[('CAUSE  Inspection', 'ORG')]"
CONNECTIONS,SHORT CIRCUIT,FRAME WIRING,1.0,519.01," CLAIM  CHECK IT DOES NOT START, PERFORM DIAGNOSIS, CHECK BATTERY, RESULT RECHARGE THE BATTERY, THE PROBLEM IS NOT THE BATTERY, IT IS THE FUEL SYSTEM. CHECK AND REPAIR ELECTRICAL INSTALLATION THAT GOES H  CAUSE  DEFECTIVE DIESEL PUMP ELECTRICAL INSTALLATION   SOLUTION CHECK VEHICLE DOES NOT START, IN COCENTRO , PERFORM BATTERY, RECHARGE BATTERY, THE PROBLEM IS NOT BATTERY REPAIR ELECTRICAL INSTALLATION FUEL PUMP SHORT CIRCUIT","[('START', 'PRODUCT'), ('BATTERY', 'NORP'), ('PROBLEM', 'ORG'), ('CAUSE', 'ORG'), ('PROBLEM', 'ORG'), ('CIRCUIT', 'ORG')]"
PIPES AD-BLUE,DEFECT,DELIVERY LINE,1.0,153.79,"COMPLAINT The engine is low power. On dashboaed appear symbol for problem 
with AD BLUE system. CAUSE We made diagnostic. We readed error. 07EA5F - 04 - SCR - reagent 
heating - Voltage below normal, or shorted to low source. Check the 
resistance of the heating element. CORRECTION We have to replacef the heating element.","[('07EA5F', 'CARDINAL')]"
MAIN BEARING CAPS,CRACKED,THREADED PLUG,2.0,194.430233,"COMPLAINT OIL LEAK CAUSE CHECKED FOR LEAKS FOUND OIL LEAK AT FRONT 
CORE PLUG CORRECTION REMOVED RADIATOR FOR ACCESS AND REMOVED 
PLUG, CLEANED SURFACES AND RESEALED TO CURE 
LEAK. REFIT AND BLEED RADIATOR AND WASH. 
RECHECK ED OKAY","[('COMPLAINT', 'ORG'), ('LEAK', 'PERSON'), ('LEAK', 'ORG')]"
REAR CABLE,LOOSE RETAINER,CLIP,1.0,50.82,"REKL  Handbrake has insufficient effect  REASON Mounting clamp on the handbrake cable at the rear right had come loose and 
was lost CORRECTION  Check the brake system on the test bench, new rear right hand brake cable 
attached, handbrake stroke adjusted.","[('REKL  Handbrake', 'ORG'), ('CORRECTION  Check', 'PERSON')]"
FLANGE SEAL,OIL LEAKS,SHAFT SEAL,9.0,235.16, REKL  REAR AXLE FLANGE LEAKING   REASON REAR AXLE FLANGE - SHAFT SEAL DEFECTIVE   CORRECTION  REAR AXLE SHAFT SEAL FLANGE RENEWED,[]
AD-BLUE TANK,DEFECT,TANK/RESERVOIR,2.0,1116.58,"COMPLAINT  The ad-blue level does not drop  CAUSE Ad-blue tank defect  CORRECTION  System(s) read out
Ad-blue system tested
Wiring/contacts and grounds checked
Ad-blue tank emptied and dismantled
Parts transferred to the new ad-blue tank
This mounted and filled with ad-blue
Read the system(s) again and the new components 
programmed
Ad-blue test performed
All errors cleared","[('COMPLAINT', 'ORG'), ('CORRECTION  System(s', 'ORG')]"
TEMPERATURE SENSOR,DEFECT,SENSOR,1.0,253.21,"INCIDENT  DPF LIGHT AT TDB + ENGINE LIGHT 
LOSS OF POWER CAUSE  NOX SENSOR FAULT
SHORT CIRCUIT PIN 3 & 4 SOLUTION  NOX SENSOR REPLACEMENT
ECONOMY: 
MONITORING GUIDED PROCEDURE DEFAULT 07034-03
+ ROAD TEST","[('SENSOR', 'DEFECTIVE_PART'), ('CIRCUIT', 'ORG'), ('3', 'CARDINAL'), ('4', 'CARDINAL'), ('SENSOR', 'DEFECTIVE_PART')]"
RADIATOR EXPANSION TANK,LEVEL INCORRECT,EXPANSION TANK,1.0,268.269233,"REKL  Cooling water level low is permanently displayed  REASON Float in expansion vessel gets stuck  CORRECTION  Find the cause and fix it.
Check the cooling water level. To do this, check the sensor
Drain the cooling water and dismantle the expansion vessel.
Replace defective expansion vessel and coolant
add again. Evaporate the engine compartment. Carry out a test drive
and carry out a leak check.","[('CORRECTION', 'PERSON'), ('sensor', 'DEFECTIVE_PART')]"
HEADLAMP AIMING ACTUATOR,INCORRECT ADJUSTMENT,HEADLIGHT,1.0,274.49,"REKL  HEADLIGHT LEFT ACTUATOR MOVING 
CONSTANTLY UP AND DOWN REASON  ACTUATOR MOTOR DEFECTIVE  CORRECTION HEADLIGHT LEFT FRONT A-E ERN. AND DISCONTINUED","[('ACTUATOR MOTOR DEFECTIVE', 'ORG')]"
STARTER MOTOR ASSY,DEFECTIVE CONTACTS,STARTER MOTOR,1.0,352.67,"COMPLAINT  WILL NOT START  CAUSE WIRING MEASUREMENT - EVERYTHING IS NORMAL
STARTER IS DEFECTIVE CORRECTION  STARTER REPLACEMENT","[('COMPLAINT', 'ORG')]"
BATTERY,SHORT CIRCUIT,BATTERY,1.0,345.589812,"Error  Unable to start (power)  Reason Battery defective according to test. Correction  Battery measured.
Battery replaced and programmed.","[('Reason Battery', 'PERSON'), ('Correction  Battery', 'PERSON')]"
HEATER RADIATOR,DEFECT,RADIATOR/HEATER,8.0,507.69, DAMAGE TYPE  COOLANT LOSS  CAUSE  DEFECTIVE HEATING RADIATOR   CORRECTION RADIATOR REPLACEMENT,"[('COOLANT', 'ORG'), ('CAUSE', 'ORG')]"
SHIFT LEVER BOOT,BREAK,GEAR LEVER KNOB,1.0,17.963158,"TEMPERATURE  The customer applied to the service requesting a general check of the vehicle. FROM WHERE  During the examination, it was determined that the gear lever and bellows tabs were broken.
No impact was detected on the vehicle/part. PROCEDURE  The customer complaint was resolved by replacing the part.",[]
ANS 24 HOURS,MISCELLANEOUS,BALL JOINT,0.0,101.1," REKL  BREAKDOWN RESPONSIBILITY ULM DONAUTAL DISTANCE 28 KM   REASON PIP 49T ON FZG VEHICLES DUE   CORRECTION  BREAKDOWN RESPONSIBILITY ULM DONAUTAL, REPAIR TO 14 VEHICLES","[('REKL', 'ORG'), ('BREAKDOWN RESPONSIBILITY ULM DONAUTAL', 'ORG'), ('28', 'CARDINAL'), ('49', 'CARDINAL'), ('CORRECTION', 'PERSON'), ('BREAKDOWN RESPONSIBILITY ULM DONAUTAL', 'ORG'), ('REPAIR', 'ORG'), ('14', 'CARDINAL'), ('VEHICLES', 'ORG')]"
BATTERY,SHORT CIRCUIT,BATTERY,0.0,34.2,"DAMAGE TYPE  SOMETIMES IT DOESN'T TURN ON. ENGINE FAILURE TO START CAUSE  PROBABLE SPECIAL DEFECT. BATTERY IN 
SHORT CIRCUIT. TEST UDT AND CHARGE THE BATTERY. SECOND 
TEST UDT AFTER RECHARGING. BATTERY REPLACEMENT AFTER 
SECOND TEST WITH RECHARGE RESULT. CORRECTION  BATTERY CHARGING","[('CIRCUIT', 'ORG'), ('SECOND', 'ORDINAL'), ('SECOND', 'ORDINAL')]"
RADIATOR EXPANSION TANK,DEFECT,EXPANSION TANK,1.0,55.74,"INCIDENT  Coolant leak at the expansion tank.
 CAUSE  rupture at the expansion tank  SOLUTION replace the expansion tank.","[('INCIDENT  Coolant', 'ORG')]"
GEARBOX INTERNAL CONTROLS,BREAK,GEAR SELECTOR,9.0,771.72," CLAIM  CHECK GEARBOX FAULT.  CAUSE  BROKEN SELECTOR   SOLUTION CHECK FAILURE IN GEARBOX, REMOVE TRANSMISSION AND OPEN GEARBOX, REPLACE SELECTOR","[('CAUSE  BROKEN SELECTOR', 'ORG'), ('REMOVE TRANSMISSION', 'PERSON'), ('REPLACE SELECTOR', 'ORG')]"
BEARINGS,TOO LOOSE/FLEXIBLE,WHEEL BEARINGS,4.0,208.067369,"COMPLAINT  RUMBLING NOISE FROM THE FRONT WHEELS WHILE DRIVING FROM 
SPEEDS 60 KM/H CPRZ  PLAY IN THE FRONT RIGHT WHEEL HUB BEARING  CORRECTION BEARING REPLACEMENT","[('COMPLAINT  RUMBLING', 'ORG'), ('NOISE', 'TYPE_OF_FAILURE'), ('60', 'CARDINAL')]"
PARTICULATE TRAP,DEFECT,CATALYTIC SILENCER,2.0,1002.19,"complaint  The OBD light is on, the display reads ""Have the engine checked"".   Defective DPF. repair  Diagnostics, proceeding according to the controlled procedure, replacing the DPF.","[('OBD', 'ORG'), ('Defective DPF', 'PERSON'), ('repair  Diagnostics', 'ORG'), ('DPF', 'ORG')]"
PUMP TO FILTER PIPE,BREAK,FUEL LINE,1.0,48.96, DAMAGE TYPE  DIESEL LEAK  CAUSE  PIPE BREAK   CORRECTION REPLACEMENT. TUBE,"[('CAUSE', 'ORG'), ('TUBE', 'ORG')]"
ANS 24H RECOVERY CHARGE,DOWNTIME,DELIVERY LINE,0.0,320.0,REKL  Towing  REASON Towing CORRECTION Towing,"[('REKL  Towing  REASON Towing', 'ORG')]"
